Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
16074;Orlamünde;07768;Freistaat Thüringen; Saale-Holzland-Kreis
15088;Schraplau;06279;Sachsen-Anhalt; Saalekreis
15082;Radegast;06369;Sachsen-Anhalt; Anhalt-Bitterfeld
07333;Obermoschel;67823;Rheinland-Pfalz; Donnersbergkreis
09475;Lichtenberg;95192;Freistaat Bayern; Hof
03153;Wildemann;38709;Niedersachsen; Goslar
16065;Clingen;99718;Freistaat Thüringen; Kyffhäuserkreis
06634;Schwarzenborn;34639;Hessen; Schwalm-Eder-Kreis
15082;Lindau;39264;Sachsen-Anhalt; Anhalt-Bitterfeld
09477;Kupferberg;95362;Freistaat Bayern; Kulmbach
09677;Rothenfels;97851;Freistaat Bayern; Main-Spessart
15090;Sandau;39524;Sachsen-Anhalt; Stendal
15084;Stößen;06667;Sachsen-Anhalt; Burgenlandkreis
07232;Kyllburg;54655;Rheinland-Pfalz; Eifelkreis Bitburg-Prüm
07141;Kaub;56349;Rheinland-Pfalz; Rhein-Lahn-Kreis
12061;Märkisch Buchholz;15748;Brandenburg; Dahme-Spreewald
15090;Werben;39615;Sachsen-Anhalt; Stendal
16075;Ziegenrück;07924;Freistaat Thüringen; Saale-Orla-Kreis
03354;Schnackenburg;29493;Niedersachsen; Lüchow-Dannenberg
16069;Ummerstadt;98663;Freistaat Thüringen; Hildburghausen
16071;Neumark;99439;Freistaat Thüringen; Weimarer Land
01059;Arnis;24399;Schleswig-Holstein; Schleswig-Flensburg
